match_id,over_number,Batsman_team,Batsman_name,batting_style,Bowler_team,Bowler_name,Bowling_style,Run_scored,Wicket_type,Wicket,Extras,Extra,Shot_area,Ball_line,Ball_length
1,2,"Hong Kong","Kalhan Challu","Right hand Bat",Afghanistan,"Fazalhaq Farooqi","Left arm Fast",0,NULL,0,NULL,0,"off side","Outside Off","Good Length"
1,2,"Hong Kong","Kalhan Challu","Right hand Bat",Afghanistan,"Fazalhaq Farooqi","Left arm Fast",1,NULL,0,NULL,0,"fine leg","Outside Off","Full Length"
1,2,"Hong Kong","Babar Hayat","Right hand Bat",Afghanistan,"Fazalhaq Farooqi","Left arm Fast",1,NULL,0,NULL,0,"off side","Outside Off","Short Length"
1,3,Afghanistan,"Ibrahim Zadran","Right hand Bat","Hong Kong","Ateeq Iqbal","Right arm fast",0,NULL,0,NULL,0,"off side","Wide Line","Good Length"
1,3,Afghanistan,"Ibrahim Zadran","Right hand Bat","Hong Kong","Ateeq Iqbal","Right arm fast",0,Caught,1,NULL,0,"off side","Outside Off","Good Length"
1,3,Afghanistan,"Mohammad Nabi","Right hand Bat","Hong Kong","Ateeq Iqbal","Right arm fast",0,NULL,0,NULL,0,"off side","Outside Off","Good Length"
1,3,Afghanistan,"Mohammad Nabi","Right hand Bat","Hong Kong","Ateeq Iqbal","Right arm fast",0,NULL,0,NULL,0,"off side",In-wicket,"Good Length"
1,3,Afghanistan,"Mohammad Nabi","Right hand Bat","Hong Kong","Ateeq Iqbal","Right arm fast",0,NULL,0,NULL,0,"leg side","Leg Stump","Full Length"
1,3,Afghanistan,"Mohammad Nabi","Right hand Bat","Hong Kong","Ateeq Iqbal","Right arm fast",0,NULL,0,NULL,0,"long on",In-wicket,"Good Length"
1,3,"Hong Kong","Babar Hayat","Right hand Bat",Afghanistan,"Allah Mohammad Ghazanfar","right arm spin",1,NULL,0,NULL,0,"long on","Outside Off","Short Length"
1,3,"Hong Kong","Kalhan Challu","Right hand Bat",Afghanistan,"Allah Mohammad Ghazanfar","right arm spin",1,NULL,0,NULL,0,"long on",In-wicket,"Full Length"
1,3,"Hong Kong","Babar Hayat","Right hand Bat",Afghanistan,"Allah Mohammad Ghazanfar","right arm spin",1,NULL,0,NULL,0,"long on",In-wicket,"Good Length"
1,3,"Hong Kong","Kalhan Challu","Right hand Bat",Afghanistan,"Allah Mohammad Ghazanfar","right arm spin",0,NULL,0,NULL,0,"off side","Outside Off","Full Length"
1,3,"Hong Kong","Kalhan Challu","Right hand Bat",Afghanistan,"Allah Mohammad Ghazanfar","right arm spin",0,NULL,0,NULL,0,"leg side","Leg Stump","Full Length"
1,3,"Hong Kong","Kalhan Challu","Right hand Bat",Afghanistan,"Allah Mohammad Ghazanfar","right arm spin",0,NULL,0,NULL,0,"leg side",In-wicket,"Full Length"
1,4,Afghanistan,"Sediqullah Atal","Left hand Bat","Hong Kong","Ayush Shukla","Right arm fast",0,NULL,0,Wide,1,miss,"Wide Line","Short Length"
1,4,Afghanistan,"Sediqullah Atal","Left hand Bat","Hong Kong","Ayush Shukla","Right arm fast",4,NULL,0,NULL,0,"long off","Outside Off","Good Length"
1,4,Afghanistan,"Sediqullah Atal","Left hand Bat","Hong Kong","Ayush Shukla","Right arm fast",1,NULL,0,NULL,0,"long on",In-wicket,"Good Length"
1,4,Afghanistan,"Mohammad Nabi","Right hand Bat","Hong Kong","Ayush Shukla","Right arm fast",1,NULL,0,NULL,0,"off side","Outside Off","Short Length"
1,4,Afghanistan,"Sediqullah Atal","Left hand Bat","Hong Kong","Ayush Shukla","Right arm fast",2,NULL,0,NULL,0,"leg side",In-wicket,"Full Length"
1,4,Afghanistan,"Sediqullah Atal","Left hand Bat","Hong Kong","Ayush Shukla","Right arm fast",1,NULL,0,NULL,0,"long off","Outside Off","Good Length"
1,4,Afghanistan,"Mohammad Nabi","Right hand Bat","Hong Kong","Ayush Shukla","Right arm fast",1,NULL,0,NULL,0,"long on","Outside Off","Short Length"
1,4,"Hong Kong","Babar Hayat","Right hand Bat",Afghanistan,"Azmatullah Omarzai","Right arm fast",1,NULL,0,NULL,0,"third man","Outside Off","Full Length"
1,4,"Hong Kong","Kalhan Challu","Right hand Bat",Afghanistan,"Azmatullah Omarzai","Right arm fast",2,NULL,0,NULL,0,"off side","Outside Off","Good Length"
1,4,"Hong Kong","Kalhan Challu","Right hand Bat",Afghanistan,"Azmatullah Omarzai","Right arm fast",0,NULL,0,NULL,0,miss,"Outside Off","Full Length"
1,4,"Hong Kong","Kinchit Shah","left hand Bat",Afghanistan,"Azmatullah Omarzai","Right arm fast",0,NULL,0,NULL,0,miss,In-wicket,"Good Length"
1,4,"Hong Kong","Kinchit Shah","left hand Bat",Afghanistan,"Azmatullah Omarzai","Right arm fast",0,NULL,0,NULL,0,miss,"Outside Off","Good Length"
1,4,"Hong Kong","Kinchit Shah","left hand Bat",Afghanistan,"Azmatullah Omarzai","Right arm fast",0,NULL,0,NULL,0,"long off","Outside Off","Full Length"
1,5,Afghanistan,"Mohammad Nabi","Right hand Bat","Hong Kong","Ehsan Khan","Right arm spin",2,NULL,0,NULL,0,"leg side","Leg Stump","Good Length"
1,5,Afghanistan,"Mohammad Nabi","Right hand Bat","Hong Kong","Ehsan Khan","Right arm spin",0,NULL,0,NULL,0,"leg side","Outside Off","Good Length"
1,5,Afghanistan,"Mohammad Nabi","Right hand Bat","Hong Kong","Ehsan Khan","Right arm spin",0,NULL,0,NULL,0,"off side","Outside Off","Good Length"
1,5,Afghanistan,"Mohammad Nabi","Right hand Bat","Hong Kong","Ehsan Khan","Right arm spin",1,NULL,0,NULL,0,"leg side","Leg Stump","Full Length"
1,5,Afghanistan,"Sediqullah Atal","Left hand Bat","Hong Kong","Ehsan Khan","Right arm spin",0,NULL,0,NULL,0,"off side","Outside Off","Full Length"
1,5,Afghanistan,"Sediqullah Atal","Left hand Bat","Hong Kong","Ehsan Khan","Right arm spin",1,NULL,0,NULL,0,"leg side",In-wicket,"Good Length"
1,5,"Hong Kong","Babar Hayat","Right hand Bat",Afghanistan,"Allah Mohammad Ghazanfar","right arm spin",0,NULL,0,NULL,0,"leg side",In-wicket,"Full Length"
1,5,"Hong Kong","Babar Hayat","Right hand Bat",Afghanistan,"Allah Mohammad Ghazanfar","right arm spin",0,NULL,0,NULL,0,"off side","Outside Off","Good Length"
1,5,"Hong Kong","Babar Hayat","Right hand Bat",Afghanistan,"Allah Mohammad Ghazanfar","right arm spin",0,NULL,0,NULL,0,"leg side",In-wicket,"Full Length"
1,5,"Hong Kong","Babar Hayat","Right hand Bat",Afghanistan,"Allah Mohammad Ghazanfar","right arm spin",0,NULL,0,NULL,0,miss,"Outside Off","Good Length"
